Weight,Horsepower,MPG
3504,130,18
3693,165,15
3436,150,18
3433,150,16
3449,140,17
4341,198,15
4354,220,14
4312,215,14
4425,225,14
3850,190,15
3090,115,NaN
4142,165,NaN
4034,153,NaN
4166,175,NaN
3850,175,NaN
3563,170,15
3609,160,14
3353,140,NaN
3761,150,15
3086,225,14
2372,95,24
2833,95,22
2774,97,18
2587,85,21
2130,88,27
1835,46,26
2672,87,25
2430,90,24
2375,95,25
2234,113,26
2648,90,21
4615,215,10
4376,200,10
4382,210,11
4732,193,9
2464,86,28
2220,81,25
2572,92,25
2255,79,26
2202,83,27
4215,140,17.5
4190,150,16
3962,120,15.5
4215,152,14.5
3233,100,22
3353,105,22
3012,81,24
3085,90,22.5
2035,52,29
2164,60,24.5
1937,70,29
1795,53,33
3651,100,20
3574,78,18
3645,110,18.5
3193,95,17.5
1825,71,29.5
1990,70,32
2155,75,28
2565,72,26.5
3150,102,20
3940,150,13
3270,88,19
2930,108,19
3820,120,16.5
4380,180,16.5
4055,145,13
3870,130,13
3755,150,13
2605,88,28
2640,88,27
2395,88,34
2575,85,31
2525,84,29
2735,90,27
2865,92,24
3035,NaN,23
1980,74,36
2025,68,37
1970,68,31
2125,63,38
2125,70,36
2160,88,36
2205,75,36
2245,70,34
1965,67,38
1965,67,32
1995,67,38
2945,110,25
3015,85,38
2585,92,26
2835,112,22
2665,96,32
2370,84,36
2950,90,27
2790,86,27
2130,52,44
2295,84,32
2625,79,28
2720,82,31
