Fold,LSTM MinWS,ET MinWS,LSTM AvgWS,ET AvgWS,LSTM MaxWS,ET MaxWS
1,0.0926105772987251,0.0876364464588132,0.080148611433397,0.0735937839062254,0.090873661217069,0.0752624857089868
2,0.0883113020507117,0.0861863648252092,0.0997066810718476,0.0969963188138813,0.0786433037530798,0.0767830851778092
3,0.0908210738178914,0.0943857127789167,0.135987873500371,0.136789774849435,0.0854729456771488,0.0802778100834287
4,0.0840026396123957,0.0845059604535904,0.123978550711002,0.123355653804641,0.0814514561121855,0.0788569426740283
5,0.0874002169559512,0.0884157320988585,0.0864538224614939,0.0836822188980371,0.0748386225656492,0.0737323298290448
6,0.0867886797551841,0.0863659036655581,0.102003991788734,0.101810873413355,0.0739999052536055,0.0728962704523297
7,0.0837414487030411,0.0814045532175937,0.0781119286126906,0.0781167780431193,0.0729546396437674,0.0699040616071058
8,0.0845471850606501,0.0836061329871898,0.0778116426292957,0.0780669633022812,0.0797317317234933,0.0760905640468671
9,0.0866375284213284,0.0847253290881989,0.085149460131047,0.0847924546027899,0.0729081509441318,0.0700003732207883
10,0.0803790906244612,0.0806230979128333,0.117036937129105,0.118006976650873,0.0768495428683164,0.0757757152783207
